Processing Activity,Data Categories,Data Subjects,Purpose,Legal Basis (GDPR),Retention Period,Recipients / Processors,Storage Location,Security Measures
User account management,"Email, first name, last name, plan tier, timestamps",Registered users,Provide and operate the Service,Art. 6(1)(b) — Performance of contract,Until account deletion + 30 days,András Hinkel (controller),Neon PostgreSQL (US),"TLS in transit, encrypted at rest, parameterized queries, access restricted to backend service"
Authentication,"Email, name, login events, sessions, IP address",Registered users,Authenticate users and manage sessions,Art. 6(1)(b) — Performance of contract,Until account deletion (managed by WorkOS),WorkOS (processor),WorkOS infrastructure (US),"JWKS token validation, no passwords stored locally, SCCs in DPA"
Saved opportunities,"User ID, opportunity ID, timestamp",Registered users,Allow users to bookmark opportunities,Art. 6(1)(b) — Performance of contract,Until account deletion (CASCADE),András Hinkel (controller),Neon PostgreSQL (US),"TLS in transit, encrypted at rest, user-scoped queries"
Saved searches,"User ID, search name, filter parameters (JSON), timestamps",Registered users,Allow users to save and reuse search filters,Art. 6(1)(b) — Performance of contract,Until account deletion (CASCADE),András Hinkel (controller),Neon PostgreSQL (US),"TLS in transit, encrypted at rest, user-scoped queries"
Search and usage analytics,"Event type, session ID, search query, filters, sort, page, user agent, referer, timestamp",All users (anonymous),Diagnose technical issues and improve the Service,Art. 6(1)(f) — Legitimate interest,Indefinite (no PII — anonymous session IDs),András Hinkel (controller),Neon PostgreSQL (US),"TLS in transit, encrypted at rest, no user ID linkage"
Contact form submissions,"Name, email, subject, message, IP address, timestamp",Website visitors,Respond to inquiries,Art. 6(1)(b) — Performance of contract,Until deletion request or 3 years,András Hinkel (controller),Neon PostgreSQL (US),"TLS in transit, encrypted at rest, rate limited, honeypot spam filter"
Account requests (DSAR / deletion),"User ID, request type, status, timestamp",Registered users,Fulfil GDPR data subject rights,Art. 6(1)(c) — Legal obligation,5 years (compliance record),András Hinkel (controller),Neon PostgreSQL (US),"TLS in transit, encrypted at rest, auth required"
Page view analytics,"Aggregate page view counts (no PII, no cookies, no IP)",Website visitors,Understand traffic patterns,Art. 6(1)(f) — Legitimate interest,Hourly/daily/weekly/monthly aggregates auto-deleted by Counter.dev,Counter.dev (processor),Linode Frankfurt Germany (EU),"Cookie-free, no IP logging, no fingerprinting, open source"
Payment processing (future),"Email, name, billing address, last 4 digits of card, card brand",Paying subscribers,Process subscription payments,Art. 6(1)(b) — Performance of contract,"Active subscription + as required by tax law (7 years Hungary, 6 years US)",Stripe (processor),Stripe infrastructure (US),"PCI DSS Level 1, DPF certified, no full card details stored locally"
Email notifications,"Email address, notification content",Registered users (future),Send search alerts and transactional emails,Art. 6(1)(b) — Performance of contract,Transient (not stored after delivery),AWS SES (processor),AWS US-East-1,"TLS in transit, DPF certified, IAM restricted"
Admin notifications,"Contact form summary, pipeline status",Controller only,Operational alerts to admin,Art. 6(1)(f) — Legitimate interest,Transient (SNS does not persist),AWS SNS (processor),AWS US-East-1,"IAM restricted, TLS in transit"
Error tracking,"Error stack traces, request metadata, IP address, browser/device info",All users,Diagnose and fix application errors,Art. 6(1)(f) — Legitimate interest,90 days (Sentry default),Sentry (processor),Sentry infrastructure (US),"TLS in transit, DPF certified, data scrubbing enabled"
API protection,"IP address, request headers, browser metadata",All users,CDN/DDoS protection and bot management for API,Art. 6(1)(f) — Legitimate interest,Transient (edge processing),Cloudflare (processor),Global (nearest edge),"TLS in transit, DPF certified, no persistent PII storage"
Product analytics (PostHog),"Page views, interaction events (search, save, upgrade clicks), session ID, plan tier for identified users",All users (anonymous until sign-in),Understand feature usage and improve the product,Art. 6(1)(f) — Legitimate interest,PostHog default retention,PostHog (processor),PostHog US Cloud,"Memory-only persistence (no cookies/localStorage), autocapture disabled, no cross-site tracking, DPF certified"
SAM.gov API audit trail,"Endpoint, method, HTTP status, response time, params, timestamps",N/A (no personal data),Demonstrate compliance with SAM.gov Terms of Use,Art. 6(1)(f) — Legitimate interest,Indefinite,András Hinkel (controller),Neon PostgreSQL (US),"TLS in transit, encrypted at rest, pipeline schema isolated"
